,Course,Section,Class,Credits,Title,Instructor(s),Time,Day,Room(s)
102,IST486,M002,37534,3.0,Social Media in the Organiz.,Patricia Rossini,12:45pm - 2:05pm,MW,Hinds Hall 117
103,IST486,U800,37543,3.0,Social Media in the Organiz.,Maren Guse Powell,12:00am - 12:00am,,Online
104,IST486,U801,37544,3.0,Social Media in the Organiz.,Maren Guse Powell,12:00am - 12:00am,,Online
105,IST486,M001,42775,3.0,Social Media in the Organiz.,,5:00pm - 6:20pm,TuTh,CH101
106,IST499,M001,37524,1.0,Honors Capstone Project,,12:00am - 12:00am,,
107,IST511,M401,37527,3.0,Intro to Library & Info Prof,Meghan Bremiller,12:00am - 8:30pm,Tu,Online  Online
108,IST511,M402,37529,3.0,Intro to Library & Info Prof,DeAnna R Miller,7:00pm - 8:30pm,W,Online
109,IST511,M400,37557,3.0,Intro to Library & Info Prof,Alison J Johnson,12:00am - 10:30pm,M,Online  Online
110,IST511,M403,37584,3.0,Intro to Library & Info Prof,Meghan Bremiller,12:00am - 8:30pm,Tu,Online  Online
111,IST511,M404,37585,3.0,Intro to Library & Info Prof,DeAnna R Miller,12:00am - 8:30pm,W,Online  Online
112,IST511,M406,37614,3.0,Intro to Library & Info Prof,Alison J Johnson,12:00am - 10:30pm,M,Online  Online
113,IST523,M001,37422,3.0,Graphic Design for the Web,Jeffrey Alan Passetti,5:00pm - 7:50pm,Th,Hinds Hall 117
114,IST523,M002,37474,3.0,Graphic Design for the Web,Jeffrey Alan Passetti,5:00pm - 7:50pm,Tu,Hinds Hall 117
115,IST564,M400,42296,3.0,Lib Svces to Students w/Disab,William N. Myhill,12:00am - 8:30pm,M,Online  Online
116,IST564,M401,42511,3.0,Lib Svces to Students w/Disab,William N. Myhill,12:00am - 8:30pm,M,Online  Online
117,IST600,M013,37423,3.0,Startup Sandbox,John DuRoss Liddy,10:00am - 12:50pm,F,Syracuse Technology Garden
118,IST600,M800,37489,1.0,IT Auditing,Thomas J Wood,12:00am - 12:00am,,Online
119,IST600,M002,37567,3.0,Adv Top in User Exp. UX Design,Ping Zhang,12:45pm - 3:35pm,M,Hinds Hall 011
120,IST600,M004,37582,3.0,Intro to Cloud Technologies,Radhika Garg,2:15pm - 5:00pm,M,Hinds Hall 018
121,IST600,M801,37629,3.0,Info Mgmt for Critical Infra,Leslie A Corbo,12:00am - 12:00am,,Online
122,IST600,M005,41477,3.0,History of Libr and Archives,,9:30am - 12:15pm,M,BIRD LIBRARY LEMKE ROOM 606B
123,IST600,M803,42268,3.0,Cultural Competence for Inform,Beth Patin,12:00am - 12:00am,,Online
124,IST600,M003,42473,3.0,Digital Humanities for Librari,,5:00pm - 7:50pm,Th,Bird Library 458A
125,IST600,M001,42598,3.0,Block Chain Management,Lee W McKnight,2:15pm - 5:05pm,M,Hinds Hall 021
126,IST605,M402,37530,3.0,Reference& Info Literacy Svces,Anne E Zald,12:00am - 10:30pm,Th,Online  Online
127,IST605,M400,37558,3.0,Reference& Info Literacy Svces,Mary C MacDonald,12:00am - 8:30pm,Th,Online  Online
128,IST605,M401,37559,3.0,Reference& Info Literacy Svces,,12:00am - 10:30pm,Tu,Online  Online
129,IST605,M403,37587,3.0,Reference& Info Literacy Svces,Rebecca K. Miller,12:00am - 8:30pm,W,Online  Online
130,IST612,M401,42298,3.0,Youth Svce inLibrary Info Ctrs,Kori M Gerbig,12:00am - 8:30pm,W,Online  Online
131,IST613,M002,37432,3.0,"Library Plan., Mrktng, Assess",Jennifer L Bort,5:00pm - 7:45pm,Tu,LYMAN HALL ROOM 228
132,IST613,M400,37554,3.0,"Library Plan., Mrktng, Assess",Melissa Bowles-Terry,12:00am - 8:30pm,Tu,Online  Online
133,IST613,M401,37588,3.0,"Library Plan., Mrktng, Assess",Jennifer Erin Nutefall,12:00am - 10:30pm,W,Online  Online
134,IST613,M403,37619,3.0,"Library Plan., Mrktng, Assess",Jennifer Erin Nutefall,12:00am - 10:30pm,Tu,Online  Online
135,IST613,M404,37620,3.0,"Library Plan., Mrktng, Assess",Melissa Bowles-Terry,12:00am - 8:30pm,Tu,Online  Online
136,IST613,M405,37621,3.0,"Library Plan., Mrktng, Assess",John David Stawarz,12:00am - 10:30pm,M,Online  Online
137,IST614,M001,37472,3.0,Mngmt Prncpls for Info Profess,James Stewart,5:15pm - 8:05pm,M,Hinds Hall 021
138,IST614,M400,37518,3.0,Mngmt Prncpls for Info Profess,Dr. John P. Stinnett,12:00am - 8:30pm,Tu,Online  Online
139,IST614,M401,37590,3.0,Mngmt Prncpls for Info Profess,Dr. John P. Stinnett,12:00am - 10:30pm,Tu,Online  Online
140,IST614,M402,37591,3.0,Mngmt Prncpls for Info Profess,Paul Brian Gandel,12:00am - 10:30pm,Tu,Online  Online
141,IST614,M403,37622,3.0,Mngmt Prncpls for Info Profess,Paul Brian Gandel,12:00am - 10:30pm,W,Online  Online
142,IST614,M404,37623,3.0,Mngmt Prncpls for Info Profess,Dr. John P. Stinnett,12:00am - 8:30pm,Tu,Online  Online
143,IST614,M405,37624,3.0,Mngmt Prncpls for Info Profess,Dr. John P. Stinnett,12:00am - 10:30pm,Tu,Online  Online
144,IST614,M002,42329,3.0,Mngmt Prncpls for Info Profess,Jill Hurst-Wahl,9:30am - 12:15pm,M,Hinds Hall 117
145,IST614,M406,42610,3.0,Mngmt Prncpls for Info Profess,,12:00am - 8:30pm,W,Online  Online
146,IST615,M001,37628,3.0,Cloud Management,Radhika Garg,9:30am - 12:15pm,M,Hinds Hall 021
147,IST616,M400,37555,3.0,Info Rsces: Organiz & Access,Jian Qin,12:00am - 10:30pm,W,Online  Online
148,IST616,M401,37592,3.0,Info Rsces: Organiz & Access,Arden Kirkland,12:00am - 8:30pm,Th,Online  Online
149,IST616,M402,37593,3.0,Info Rsces: Organiz & Access,Arden Kirkland,12:00am - 10:30pm,Tu,Online  Online
